Type noeud	Nom noeud	Type pere	Nom pere
_	1521 - Provisions pour risques et charges sur emprunts (non budgétaire)	_	152 - Provisions pour risques et charges sur emprunts
_	1522 - Provisions pour risques et charges sur emprunts (budgétaire)	_	152 - Provisions pour risques et charges sur emprunts
_	157 - Provisions pour charges à répartir sur plusieurs exercices	_	15 - PROVISIONS POUR RISQUES ET CHARGES
_	1572 - Provisions pour grosses réparations	_	157 - Provisions pour charges à répartir sur plusieurs exercices
_	15721 - Provisions pour grosses réparations (non budgétaires)	_	1572 - Provisions pour grosses réparations
_	15722 - Provisions pour grosses réparations (budgétaires)	_	1572 - Provisions pour grosses réparations
_	158 - Autres provisions pour charges	_	15 - PROVISIONS POUR RISQUES ET CHARGES
_	1581 - Autres provisions pour charges (non budgétaires)	_	158 - Autres provisions pour charges
_	1582 - Autres provisions pour charges (budgétaires)	_	158 - Autres provisions pour charges
_	16 - EMPRUNTS ET DETTES ASSIMILEES	_	1 - COMPTES DE CAPITAUX (FONDS PROPRES, EMPRUNTS ET DETTES ASSIMILÉES)
_	163 - Emprunts obligataires	_	16 - EMPRUNTS ET DETTES ASSIMILEES
_	1631 - Emprunts obligataires	_	163 - Emprunts obligataires
_	16311 - Emprunts remboursables in fine	_	1631 - Emprunts obligataires
_	16318 - Autres 	_	1631 - Emprunts obligataires
_	1632 - Opérations sur capital non échu des emprunts obligataires remboursables in fine - Anticipation du remboursement en capital	_	163 - Emprunts obligataires
_	164 - Emprunts auprès des établissements de crédit	_	16 - EMPRUNTS ET DETTES ASSIMILEES
_	1641 - Emprunts en euros	_	164 - Emprunts auprès des établissements de crédit
_	1643 - Emprunts en devises	_	164 - Emprunts auprès des établissements de crédit
_	1644 - Emprunts assortis d'une option de tirage sur ligne de trésorerie	_	164 - Emprunts auprès des établissements de crédit
_	16441 - Opérations afférentes à l'emprunt	_	1644 - Emprunts assortis d'une option de tirage sur ligne de trésorerie
_	16449 - Opérations afférentes à l'option de tirage sur ligne de trésorerie	_	1644 - Emprunts assortis d'une option de tirage sur ligne de trésorerie
_	1645 - Remboursements temporaires sur emprunts auprès des établissements de crédits	_	164 - Emprunts auprès des établissements de crédit
_	16451 - Remboursements temporaires sur emprunts en euros	_	1645 - Remboursements temporaires sur emprunts auprès des établissements de crédits
_	16452 - Remboursements temporaires sur emprunts en devises	_	1645 - Remboursements temporaires sur emprunts auprès des établissements de crédits
_	165 - Dépôts et cautionnements reçus	_	16 - EMPRUNTS ET DETTES ASSIMILEES
_	166 - Refinancement de dette	_	16 - EMPRUNTS ET DETTES ASSIMILEES
_	167 - Emprunts et dettes assortis de conditions particulières	_	16 - EMPRUNTS ET DETTES ASSIMILEES
_	1671 - Avances consolidées du Trésor	_	167 - Emprunts et dettes assortis de conditions particulières
_	1672 - Emprunts sur comptes spéciaux du Trésor	_	167 - Emprunts et dettes assortis de conditions particulières
_	1675 - Dettes afférentes aux M.E.T.P. et P.P.P.	_	167 - Emprunts et dettes assortis de conditions particulières
_	1676 - Dettes envers locataires-acquéreurs	_	167 - Emprunts et dettes assortis de conditions particulières
_	1678 - Autres emprunts et dettes	_	167 - Emprunts et dettes assortis de conditions particulières
_	168 - Autres emprunts et dettes assimilées	_	16 - EMPRUNTS ET DETTES ASSIMILEES
_	1681 - Autres emprunts	_	168 - Autres emprunts et dettes assimilées
_	16811 - Organismes d'assurances	_	1681 - Autres emprunts
_	16812 - Entreprises non financières	_	1681 - Autres emprunts
_	16813 - Particuliers	_	1681 - Autres emprunts
_	16814 - Étrangers	_	1681 - Autres emprunts
_	16818 - Autres prêteurs	_	1681 - Autres emprunts
_	1682 - Bons à moyen terme négociables	_	168 - Autres emprunts et dettes assimilées
_	1687 - Autres dettes	_	168 - Autres emprunts et dettes assimilées
_	16871 - État et établissements nationaux	_	1687 - Autres dettes
_	16872 - Régions	_	1687 - Autres dettes
_	16873 - Départements	_	1687 - Autres dettes
_	16874 - Communes	_	1687 - Autres dettes
_	168741 - Communes membres du GFP	_	16874 - Communes
_	168748 - Autres communes	_	16874 - Communes
_	16875 - Groupements de collectivités	_	1687 - Autres dettes
_	168751 - GFP de rattachement	_	16875 - Groupements de collectivités
_	168758 - Autres groupements	_	16875 - Groupements de collectivités
_	16876 - Autres établissements publics locaux	_	1687 - Autres dettes
_	16878 - Autres organismes et particuliers 	_	1687 - Autres dettes
_	1688 - Intérêts courus	_	168 - Autres emprunts et dettes assimilées
_	16883 - Intérêts courus sur emprunts obligataires	_	1688 - Intérêts courus
_	16884 - Intérêts courus sur emprunts auprès des établissements de crédit	_	1688 - Intérêts courus
_	16888 - Intérêts sur autres emprunts et dettes assimilées	_	1688 - Intérêts courus
_	169 - Primes de remboursement des obligations	_	16 - EMPRUNTS ET DETTES ASSIMILEES
_	18 - compte de liaison : affectation (budgets annexes - régies non personnalisées)	_	1 - COMPTES DE CAPITAUX (FONDS PROPRES, EMPRUNTS ET DETTES ASSIMILÉES)
_	181 - Compte de liaison : affectation à...	_	18 - compte de liaison : affectation (budgets annexes - régies non personnalisées)
_	19 - DIFFERENCES SUR REALISATIONS D'IMMOBILISATIONS	_	1 - COMPTES DE CAPITAUX (FONDS PROPRES, EMPRUNTS ET DETTES ASSIMILÉES)
_	192 - Plus ou moins-values sur cessions d'immobilisations	_	19 - DIFFERENCES SUR REALISATIONS D'IMMOBILISATIONS
_	193 - Autres différences sur réalisations d'immobilisations	_	19 - DIFFERENCES SUR REALISATIONS D'IMMOBILISATIONS
_	194 - Provisions pour risques sur emprunts - Stock au 1er janvier 2013	_	19 - DIFFERENCES SUR REALISATIONS D'IMMOBILISATIONS
_	2 - COMPTES D'IMMOBILISATIONS	_	M14_2014
_	20 - IMMOBILISATIONS INCORPORELLES	_	2 - COMPTES D'IMMOBILISATIONS
_	202 - Frais liés à la réalisation des documents d'urbanisme et à la numérisation du cadastre	_	20 - IMMOBILISATIONS INCORPORELLES
_	203 - Frais d'études, de recherche et de développement et frais d'insertion	_	20 - IMMOBILISATIONS INCORPORELLES
_	2031 - Frais d'études	_	203 - Frais d'études, de recherche et de développement et frais d'insertion
_	2032 - Frais de recherche et de développement	_	203 - Frais d'études, de recherche et de développement et frais d'insertion
_	2033 - Frais d'insertion	_	203 - Frais d'études, de recherche et de développement et frais d'insertion
_	204 - Subventions d'équipement versées	_	20 - IMMOBILISATIONS INCORPORELLES
_	2041 - Subventions d'équipement aux organismes publics	_	204 - Subventions d'équipement versées
_	20411 - État	_	2041 - Subventions d'équipement aux organismes publics
_	204111 - Biens mobiliers, matériel et études	_	20411 - État
_	204112 - Bâtiments et installations	_	20411 - État
_	204113 - Projets d'infrastructures d'intérêt national	_	20411 - État
_	20412 - Régions	_	2041 - Subventions d'équipement aux organismes publics
_	204121 - Biens mobiliers, matériel et études	_	20412 - Régions
_	204122 - Bâtiments et installations	_	20412 - Régions
_	204123 - Projets d'infrastructures d'intérêt national	_	20412 - Régions
_	20413 - Départements	_	2041 - Subventions d'équipement aux organismes publics
_	204131 - Biens mobiliers, matériel et études	_	20413 - Départements
_	204132 - Bâtiments et installations	_	20413 - Départements
_	204133 - Projets d'infrastructures d'intérêt national	_	20413 - Départements
_	20414 - Communes	_	2041 - Subventions d'équipement aux organismes publics
_	204141 - Communes membres du GFP	_	20414 - Communes
_	2041411 - Biens mobiliers, matériel et études	_	204141 - Communes membres du GFP
_	2041412 - Bâtiments et installations	_	204141 - Communes membres du GFP
_	20414113 - Projets d'infrastructures d'intérêt national	_	2041411 - Biens mobiliers, matériel et études
_	204148 - Autres communes	_	20414 - Communes
_	2041481 - Biens mobiliers, matériel et études	_	204148 - Autres communes
_	2041482 - Bâtiments et installations	_	204148 - Autres communes
_	2041483 - Projets d'infrastructures d'intérêt national	_	204148 - Autres communes
_	20415 - Groupements de collectivités	_	2041 - Subventions d'équipement aux organismes publics
_	204151 - GFP de rattachement	_	20415 - Groupements de collectivités
_	2041511 - Biens mobiliers, matériel et études	_	204151 - GFP de rattachement
_	2041512 - Bâtiments et installations	_	204151 - GFP de rattachement
_	2041513 - Projets d'infrastructures d'intérêt national	_	204151 - GFP de rattachement
_	204158 - Autres groupements	_	20415 - Groupements de collectivités
_	2041581 - Biens mobiliers, matériel et études	_	204158 - Autres groupements
_	2041582 - Bâtiments et installations	_	204158 - Autres groupements
_	2041583 - Projets d'infrastructures d'intérêt national	_	204158 - Autres groupements
_	20416 - Établissements et services rattachés	_	2041 - Subventions d'équipement aux organismes publics
_	204161 - Caisse des écoles	_	20416 - Établissements et services rattachés
_	2041611 - Biens mobiliers, matériel et études	_	204161 - Caisse des écoles
_	2041612 - Bâtiments et installations	_	204161 - Caisse des écoles
_	2041613 - Projets d'infrastructures d'intérêt national	_	204161 - Caisse des écoles
_	204162 - CCAS	_	20416 - Établissements et services rattachés
_	2041621 - Biens mobiliers, matériel et études	_	204162 - CCAS
_	2041622 - Bâtiments et installations	_	204162 - CCAS
_	2041623 - Projets d'infrastructures d'intérêt national	_	204162 - CCAS
_	204163 - A caractère administratif	_	20416 - Établissements et services rattachés
_	2041631 - Biens mobiliers, matériel et études	_	204163 - A caractère administratif
_	2041632 - Bâtiments et installations	_	204163 - A caractère administratif
_	2041633 - Projets d'infrastructures d'intérêt national	_	204163 - A caractère administratif
_	204164 - A caractère industriel et commercial	_	20416 - Établissements et services rattachés
_	2041641 - Biens mobiliers, matériel et études	_	204164 - A caractère industriel et commercial
_	2041642 - Bâtiments et installations	_	204164 - A caractère industriel et commercial
_	2041643 - Projets d'infrastructures d'intérêt national	_	204164 - A caractère industriel et commercial
_	20417 - Autres établissements publics locaux	_	2041 - Subventions d'équipement aux organismes publics
_	204171 - Biens mobiliers, matériel et études	_	20417 - Autres établissements publics locaux
_	204172 - Bâtiments et installations	_	20417 - Autres établissements publics locaux
_	204173 - Projets d'infrastructures d'intérêt national	_	20417 - Autres établissements publics locaux
_	20418 - Autres organismes publics	_	2041 - Subventions d'équipement aux organismes publics
_	204181 - Biens mobiliers, matériel et études	_	20418 - Autres organismes publics
_	204182 - Bâtiments et installations	_	20418 - Autres organismes publics
_	204183 - Projets d'infrastructures d'intérêt national	_	20418 - Autres organismes publics
_	2042 - Subventions d'équipement aux personnes de droit privé	_	204 - Subventions d'équipement versées
_	20421 - Biens mobiliers, matériel et études	_	2042 - Subventions d'équipement aux personnes de droit privé
_	20422 - Bâtiments et installations	_	2042 - Subventions d'équipement aux personnes de droit privé
_	20423 - Projets d'infrastructures d'intérêt national	_	2042 - Subventions d'équipement aux personnes de droit privé
_	2044 - Subventions d'équipement en nature	_	204 - Subventions d'équipement versées
_	20441 - Organismes publics	_	2044 - Subventions d'équipement en nature
_	204411 - Biens mobiliers, matériel et études	_	20441 - Organismes publics
_	204412 - Bâtiments et installations	_	20441 - Organismes publics
_	204413 - Projets d'infrastructures d'intérêt national	_	20441 - Organismes publics
_	20442 - Personnes de droit privé	_	2044 - Subventions d'équipement en nature
_	204421 - Biens mobiliers, matériel et études	_	20442 - Personnes de droit privé
_	204422 - Bâtiments et installations	_	20442 - Personnes de droit privé
_	204423 - Projets d'infrastructures d'intérêt national 	_	20442 - Personnes de droit privé
_	205 - Concessions et droits similaires, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires	_	20 - IMMOBILISATIONS INCORPORELLES
_	2051 - Concessions et droits similaires	_	205 - Concessions et droits similaires, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires
_	2052 - Quotas de gaz à effet de serre	_	205 - Concessions et droits similaires, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires
_	2053 - Droit de superficie	_	205 - Concessions et droits similaires, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires
_	208 - Autres immobilisations incorporelles	_	20 - IMMOBILISATIONS INCORPORELLES
_	2087 - Immobilisations incorporelles reçues au titre d'une mise à disposition	_	208 - Autres immobilisations incorporelles
_	2088 - Autres immobilisations incorporelles	_	208 - Autres immobilisations incorporelles
_	209 - Restitutions sur immobilisations incorporelles	_	20 - IMMOBILISATIONS INCORPORELLES
_	2095 - Consommation de quotas de gaz à effet de serre	_	209 - Restitutions sur immobilisations incorporelles
_	21 - IMMOBILISATIONS CORPORELLES	_	2 - COMPTES D'IMMOBILISATIONS
_	211 - Terrains	_	21 - IMMOBILISATIONS CORPORELLES
_	2111 - Terrains nus	_	211 - Terrains
_	2112 - Terrains de voirie	_	211 - Terrains
_	2113 - Terrains aménagés autres que voirie	_	211 - Terrains
_	2114 - Terrains de gisement	_	211 - Terrains
_	2115 - Terrains bâtis	_	211 - Terrains
_	2116 - Cimetières	_	211 - Terrains
_	2117 - Bois et forêts	_	211 - Terrains
_	2118 - Autres terrains	_	211 - Terrains
_	212 - Agencements et aménagements de terrains	_	21 - IMMOBILISATIONS CORPORELLES
_	2121 - Plantations d'arbres et d'arbustes	_	212 - Agencements et aménagements de terrains
_	2128 - Autres agencements et aménagements de terrains	_	212 - Agencements et aménagements de terrains
_	213 - Constructions	_	21 - IMMOBILISATIONS CORPORELLES
_	2131 - Bâtiments publics	_	213 - Constructions
_	21311 - Hôtel de ville	_	2131 - Bâtiments publics
_	21312 - Bâtiments scolaires	_	2131 - Bâtiments publics
_	21316 - Équipements du cimetière	_	2131 - Bâtiments publics
_	21318 - Autres bâtiments publics	_	2131 - Bâtiments publics
_	2132 - Immeubles de rapport	_	213 - Constructions
_	2135 - Installations générales, agencements, aménagements des constructions	_	213 - Constructions
_	2138 - Autres constructions	_	213 - Constructions
_	214 - Constructions sur sol d'autrui	_	21 - IMMOBILISATIONS CORPORELLES
_	2141 - Constructions sur sol d'autrui - Bâtiments publics	_	214 - Constructions sur sol d'autrui
_	2142 - Constructions sur sol d'autrui - Immeubles de rapport	_	214 - Constructions sur sol d'autrui
_	2143 - Constructions sur sol d'autrui - Droit de superficie	_	214 - Constructions sur sol d'autrui
_	2145 - Construction sur sol d'autrui - Installations générales, agencements, aménagements	_	214 - Constructions sur sol d'autrui
_	2148 - Constructions sur sol d'autrui - Autres constructions	_	214 - Constructions sur sol d'autrui
_	215 - Installations, matériel et outillage techniques	_	21 - IMMOBILISATIONS CORPORELLES
_	2151 - Réseaux de voirie	_	215 - Installations, matériel et outillage techniques
_	2152 - Installations de voirie 	_	215 - Installations, matériel et outillage techniques
_	2153 - Réseaux divers	_	215 - Installations, matériel et outillage techniques
_	21531 - Réseaux d'adduction d'eau	_	2153 - Réseaux divers
_	21532 - Réseaux d'assainissement	_	2153 - Réseaux divers
_	21533 - Réseaux câblés	_	2153 - Réseaux divers
_	21534 - Réseaux d'électrification	_	2153 - Réseaux divers
_	21538 - Autres réseaux	_	2153 - Réseaux divers
_	2156 - Matériel et outillage d'incendie et de défense civile	_	215 - Installations, matériel et outillage techniques
_	21561 - Matériel roulant	_	2156 - Matériel et outillage d'incendie et de défense civile
_	21568 - Autre matériel et outillage d'incendie et de défense civile	_	2156 - Matériel et outillage d'incendie et de défense civile
_	2157 - Matériel et outillage de voirie	_	215 - Installations, matériel et outillage techniques
_	21571 - Matériel roulant	_	2157 - Matériel et outillage de voirie
_	21578 - Autre matériel et outillage de voirie	_	2157 - Matériel et outillage de voirie
_	2158 - Autres installations, matériel et outillage techniques	_	215 - Installations, matériel et outillage techniques
_	216 - Collections et oeuvres d'art	_	21 - IMMOBILISATIONS CORPORELLES
_	2161 - Oeuvres et objets d'art	_	216 - Collections et oeuvres d'art
_	2162 - Fonds anciens des bibliothèques et musées	_	216 - Collections et oeuvres d'art
_	2168 - Autres collections et oeuvres d'art	_	216 - Collections et oeuvres d'art
_	217 - Immobilisations corporelles reçues au titre d'une mise à disposition	_	21 - IMMOBILISATIONS CORPORELLES
_	2171 - Terrains	_	217 - Immobilisations corporelles reçues au titre d'une mise à disposition
_	21711 - Terrains nus	_	2171 - Terrains
_	21712 - Terrains de voirie	_	2171 - Terrains
_	21713 - Terrains aménagés autres que voirie	_	2171 - Terrains
_	21714 - Terrains de gisement	_	2171 - Terrains
_	21715 - Terrains bâtis	_	2171 - Terrains
_	21718 - Autres terrains	_	2171 - Terrains
_	2172 - Agencements et aménagements de terrains	_	217 - Immobilisations corporelles reçues au titre d'une mise à disposition
_	21721 - Plantations d'arbres et d'arbustes	_	2172 - Agencements et aménagements de terrains
_	21728 - Autres agencements et aménagements de terrains	_	2172 - Agencements et aménagements de terrains
_	2173 - Constructions	_	217 - Immobilisations corporelles reçues au titre d'une mise à disposition
_	21731 - Bâtiments publics	_	2173 - Constructions
_	21732 - Immeubles de rapport	_	2173 - Constructions
_	21735 - Installations générales, agencements, aménagements des constructions	_	2173 - Constructions
_	21738 - Autres constructions	_	2173 - Constructions
_	2174 - Constructions sur sol d'autrui	_	217 - Immobilisations corporelles reçues au titre d'une mise à disposition
_	21741 - Constructions sur sol d'autrui - Bâtiments publics	_	2174 - Constructions sur sol d'autrui
_	21742 - Constructions sur sol d'autrui - Immeubles de rapport 	_	2174 - Constructions sur sol d'autrui
_	21745 - Constructions sur sol d'autrui - Installations générales, agencements, aménagements	_	2174 - Constructions sur sol d'autrui
_	21748 - Constructions sur sol d'autrui - Autres constructions	_	2174 - Constructions sur sol d'autrui
_	2175 - Installations, matériel et outillage techniques	_	217 - Immobilisations corporelles reçues au titre d'une mise à disposition
_	21751 - Réseaux de voirie	_	2175 - Installations, matériel et outillage techniques
_	21752 - Installations de voirie	_	2175 - Installations, matériel et outillage techniques
_	21753 - Réseaux divers	_	2175 - Installations, matériel et outillage techniques
_	217533 - Réseaux câblés	_	21753 - Réseaux divers
_	217534 - Réseaux d'électrification	_	21753 - Réseaux divers
_	217538 - Autres réseaux	_	21753 - Réseaux divers
_	21757 - Matériel et outillage de voirie	_	2175 - Installations, matériel et outillage techniques
_	21758 - Autres installations, matériel et outillage techniques	_	2175 - Installations, matériel et outillage techniques
_	2178 - Autres immobilisations corporelles reçues au titre d'une mise à disposition	_	217 - Immobilisations corporelles reçues au titre d'une mise à disposition
_	21782 - Matériel de transport	_	2178 - Autres immobilisations corporelles reçues au titre d'une mise à disposition
_	21783 - Matériel de bureau et matériel informatique	_	2178 - Autres immobilisations corporelles reçues au titre d'une mise à disposition
_	21784 - Mobilier	_	2178 - Autres immobilisations corporelles reçues au titre d'une mise à disposition
_	21785 - Cheptel	_	2178 - Autres immobilisations corporelles reçues au titre d'une mise à disposition
_	21788 - Autres immobilisations corporelles reçues au titre d'une mise à disposition	_	2178 - Autres immobilisations corporelles reçues au titre d'une mise à disposition
_	218 - Autres immobilisations corporelles	_	21 - IMMOBILISATIONS CORPORELLES
_	2181 - Installations générales, agencements et aménagements divers	_	218 - Autres immobilisations corporelles
_	2182 - Matériel de transport	_	218 - Autres immobilisations corporelles
_	2183 - Matériel de bureau et matériel informatique	_	218 - Autres immobilisations corporelles
_	2184 - Mobilier	_	218 - Autres immobilisations corporelles
_	2185 - Cheptel	_	218 - Autres immobilisations corporelles
_	2188 - Autres immobilisations corporelles	_	218 - Autres immobilisations corporelles
